transaction_date,aisle,product_name,quantity,unit_price,total_amount,,,,,,,,,
2023-08-07,Beverages,Carrots,1,28.26,28.26,,,,,,,,,
2023-08-07,Meat & Seafood,Pasta,1,15.33,15.33,,,,,,,,,
2023-08-08,Meat & Seafood,Yogurt,1,25.05,25.05,,,,,,,,,
2023-08-08,Bakery,Cheese,5,23.46,117.3,,,,,,,,,
2023-08-08,Dairy,Onions,5,12.05,60.25,,,,,,,,,
2023-08-08,Beverages,Orange Juice,4,11.73,46.92,,,,,,,,,
2023-08-11,Beverages,Eggs,3,22.77,68.31,,,,,,,,,
2023-08-11,Bakery,Chicken Breast,3,13.16,39.48,,,,,,,,,
2023-08-12,Health & Wellness,Salmon,1,6.89,6.89,,,,,,,,,
2023-08-12,Snacks & Candy,Bread,5,7.54,37.7,,,,,,,,,
2023-08-12,Health & Wellness,Rice,2,27.72,55.44,,,,,,,,,
2023-08-12,Beverages,Bananas,3,13.06,39.18,,,,,,,,,
2023-08-13,Health & Wellness,Eggs,3,3.35,10.05,,,,,,,,,
2023-08-13,Health & Wellness,Yogurt,3,26,78,,,,,,,,,
2023-08-13,Bakery,Eggs,3,1.72,5.16,,,,,,,,,
2023-08-14,Canned Goods,Bread,4,25.48,101.92,,,,,,,,,
2023-08-14,Health & Wellness,Chicken Breast,1,18,18,,,,,,,,,
2023-08-14,Meat & Seafood,Bananas,3,23.45,70.35,,,,,,,,,
2023-08-14,Health & Wellness,Yogurt,5,24.36,121.8,,,,,,,,,
2023-08-14,Frozen Foods,Cheese,3,11.56,34.68,,,,,,,,,
2023-08-16,Frozen Foods,Bread,5,27.7,138.5,,,,,,,,,
2023-08-16,Produce,Cereal,4,8.56,34.24,,,,,,,,,
2023-08-16,Snacks & Candy,Tomatoes,2,24.72,49.44,,,,,,,,,
2023-08-17,Snacks & Candy,Yogurt,5,20.8,104,,,,,,,,,
2023-08-17,Health & Wellness,Onions,2,24.68,49.36,,,,,,,,,
2023-08-17,Snacks & Candy,Chicken Breast,2,23.09,46.18,,,,,,,,,
2023-08-18,Snacks & Candy,Eggs,5,24.78,123.9,,,,,,,,,
2023-08-19,Personal Care,Tomatoes,1,17.16,17.16,,,,,,,,,
2023-08-19,Canned Goods,Bananas,3,20.75,62.25,,,,,,,,,
2023-08-19,Produce,Chicken Breast,5,20.55,102.75,,,,,,,,,
2023-08-19,Personal Care,Ground Beef,5,28.01,140.05,,,,,,,,,
2023-08-19,Household Items,Carrots,5,19.27,96.35,,,,,,,,,
2023-08-19,Dairy,Potatoes,5,18.58,92.9,,,,,,,,,
2023-08-19,Canned Goods,Milk,2,27.13,54.26,,,,,,,,,
2023-08-20,Dairy,Milk,4,15.71,62.84,,,,,,,,,
2023-08-21,Household Items,Rice,4,7.54,30.16,,,,,,,,,
2023-08-21,Dairy,Chicken Breast,5,2.69,13.45,,,,,,,,,
2023-08-23,Personal Care,Milk,4,3.54,14.16,,,,,,,,,
2023-08-23,Health & Wellness,Orange Juice,2,25,50,,,,,,,,,
2023-08-24,Produce,Eggs,2,20.19,40.38,,,,,,,,,
2023-08-24,Bakery,Pasta,3,18.84,56.52,,,,,,,,,
2023-08-25,Produce,Ground Beef,2,28.54,57.08,,,,,,,,,
2023-08-26,Produce,Pasta,2,7.46,14.92,,,,,,,,,
2023-08-26,Dairy,Cereal,3,21.57,64.71,,,,,,,,,
2023-08-26,Canned Goods,Chicken Breast,4,24.29,97.16,,,,,,,,,
2023-08-27,Bakery,Yogurt,3,22.81,68.43,,,,,,,,,
2023-08-27,Frozen Foods,Salmon,1,3.88,3.88,,,,,,,,,
2023-08-27,Snacks & Candy,Chicken Breast,2,22.02,44.04,,,,,,,,,
2023-08-27,Beverages,Cheese,5,18.95,94.75,,,,,,,,,
2023-08-27,Personal Care,Yogurt,3,16.52,49.56,,,,,,,,,
2023-08-28,Beverages,Potatoes,2,8.55,17.1,,,,,,,,,
2023-08-29,Meat & Seafood,Cheese,4,26.9,107.6,,,,,,,,,
2023-08-30,Frozen Foods,Cereal,1,11.06,11.06,,,,,,,,,
2023-08-31,Dairy,Onions,3,25.04,75.12,,,,,,,,,
2023-08-31,Frozen Foods,Bread,2,21.5,43,,,,,,,,,
2023-08-31,Beverages,Apples,5,4.98,24.9,,,,,,,,,
2023-08-31,Canned Goods,Cereal,1,5.35,5.35,,,,,,,,,
2023-08-31,Frozen Foods,Apples,2,10.85,21.7,,,,,,,,,
2023-09-01,Health & Wellness,Salmon,5,14.12,70.6,,,,,,,,,
2023-09-01,Bakery,Yogurt,3,5.51,16.53,,,,,,,,,
2023-09-01,Beverages,Bananas,4,3.12,12.48,,,,,,,,,
2023-09-03,Personal Care,Onions,4,8.35,33.4,,,,,,,,,
2023-09-03,Personal Care,Bananas,1,20.08,20.08,,,,,,,,,
2023-09-04,Beverages,Ground Beef,5,7.36,36.8,,,,,,,,,
2023-09-04,Beverages,Salmon,1,29.26,29.26,,,,,,,,,
2023-09-05,Snacks & Candy,Orange Juice,3,17.17,51.51,,,,,,,,,
2023-09-05,Beverages,Onions,2,16.47,32.94,,,,,,,,,
2023-09-05,Beverages,Carrots,3,16.72,50.16,,,,,,,,,
2023-09-06,Beverages,Ground Beef,1,23.94,23.94,,,,,,,,,
2023-09-06,Frozen Foods,Potatoes,4,22.94,91.76,,,,,,,,,
2023-09-07,Health & Wellness,Milk,1,7.11,7.11,,,,,,,,,
2023-09-08,Snacks & Candy,Cereal,2,15.38,30.76,,,,,,,,,
2023-09-08,Canned Goods,Rice,3,9.78,29.34,,,,,,,,,
2023-09-09,Produce,Yogurt,5,27.31,136.55,,,,,,,,,
2023-09-09,Health & Wellness,Cereal,4,3.81,15.24,,,,,,,,,
2023-09-09,Snacks & Candy,Chicken Breast,4,20.15,80.6,,,,,,,,,
2023-09-10,Meat & Seafood,Potatoes,4,18.84,75.36,,,,,,,,,
2023-09-11,Frozen Foods,Yogurt,1,17.79,17.79,,,,,,,,,
2023-09-11,Canned Goods,Eggs,3,6.46,19.38,,,,,,,,,
2023-09-11,Bakery,Chicken Breast,1,6.99,6.99,,,,,,,,,
2023-09-11,Health & Wellness,Tomatoes,4,17.99,71.96,,,,,,,,,
2023-09-11,Meat & Seafood,Eggs,3,11.64,34.92,,,,,,,,,
2023-09-11,Beverages,Bananas,4,5.31,21.24,,,,,,,,,
2023-09-11,Frozen Foods,Pasta,2,3.41,6.82,,,,,,,,,
2023-09-11,Frozen Foods,Carrots,3,13.16,39.48,,,,,,,,,
2023-09-11,Beverages,Salmon,5,27.1,135.5,,,,,,,,,
2023-09-12,Snacks & Candy,Rice,4,15.3,61.2,,,,,,,,,
2023-09-13,Household Items,Tomatoes,5,10.32,51.6,,,,,,,,,
2023-09-15,Health & Wellness,Pasta,5,12.04,60.2,,,,,,,,,
2023-09-15,Produce,Onions,3,7.53,22.59,,,,,,,,,
2023-09-16,Beverages,Pasta,3,25.99,77.97,,,,,,,,,
2023-09-16,Dairy,Eggs,2,1.79,3.58,,,,,,,,,
2023-09-16,Snacks & Candy,Orange Juice,3,11.56,34.68,,,,,,,,,
2023-09-16,Dairy,Apples,5,27.32,136.6,,,,,,,,,
2023-09-16,Frozen Foods,Potatoes,3,10.76,32.28,,,,,,,,,
2023-09-17,Dairy,Orange Juice,4,27.4,109.6,,,,,,,,,
2023-09-18,Dairy,Orange Juice,5,14.92,74.6,,,,,,,,,
2023-09-19,Snacks & Candy,Milk,1,17.04,17.04,,,,,,,,,
2023-09-19,Household Items,Yogurt,1,21.37,21.37,,,,,,,,,
2023-09-20,Canned Goods,Tomatoes,5,16.38,81.9,,,,,,,,,
2023-09-20,Snacks & Candy,Chicken Breast,5,27.39,136.95,,,,,,,,,
2023-09-21,Produce,Potatoes,4,13.35,53.4,,,,,,,,,
2023-09-22,Produce,Ground Beef,5,26.81,134.05,,,,,,,,,
2023-09-23,Health & Wellness,Onions,2,3.13,6.26,,,,,,,,,
2023-09-23,Dairy,Bread,3,18.63,55.89,,,,,,,,,
2023-09-23,Dairy,Bananas,3,26.14,78.42,,,,,,,,,
2023-09-23,Produce,Chicken Breast,4,29.81,119.24,,,,,,,,,
2023-09-23,Produce,Milk,3,3.69,11.07,,,,,,,,,
2023-09-23,Beverages,Rice,2,25.4,50.8,,,,,,,,,
2023-09-23,Canned Goods,Onions,3,14.85,44.55,,,,,,,,,
2023-09-24,Meat & Seafood,Cheese,4,5.04,20.16,,,,,,,,,
2023-09-24,Dairy,Eggs,1,11.13,11.13,,,,,,,,,
2023-09-24,Frozen Foods,Eggs,1,10.36,10.36,,,,,,,,,
2023-09-25,Canned Goods,Chicken Breast,2,10.55,21.1,,,,,,,,,
2023-09-25,Dairy,Bananas,1,11.25,11.25,,,,,,,,,
2023-09-25,Beverages,Cheese,1,5.67,5.67,,,,,,,,,
2023-09-25,Meat & Seafood,Bread,1,1.1,1.1,,,,,,,,,
2023-09-27,Meat & Seafood,Pasta,1,4.13,4.13,,,,,,,,,
2023-09-27,Personal Care,Potatoes,4,24.42,97.68,,,,,,,,,
2023-09-27,Bakery,Yogurt,5,18.78,93.9,,,,,,,,,
2023-09-27,Personal Care,Orange Juice,3,17.92,53.76,,,,,,,,,
2023-09-28,Personal Care,Chicken Breast,2,16.72,33.44,,,,,,,,,
